Timestamp,Fecha,Hora,Sucursal,Idioma,Caja(1-5),Entrega(1-5),Calidad(1-5),Limpieza(1-5),NPS(0-10),Comentarios,FotosURLs,FotosIDs,FolderURL,FolderID,ClienteNick,Week,Month,Year,ID,Estatus,Reviso
10/26/2025 13:06:55,2025-10-26,13:06,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,,44,10,2025,e93ebc72-74cd-4f77-9835-dc38ea9fb8ff,cerrado,Admin
10/26/2025 13:09:32,2025-10-26,13:09,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,,44,10,2025,66a77832-1075-4b54-a52b-03e1dbaadd25,cerrado,Admin
10/26/2025 13:20:55,2025-10-26,13:20,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Ivonne,44,10,2025,6570d4c7-6eec-433b-aa0c-7d5a5afa649e,cerrado,Admin
10/26/2025 13:32:49,2025-10-26,13:32,Lynwood,es,5,5,5,5,10,"Excelente servicio, son muy amables!",https://drive.google.com/uc?export=view&id=1nz01IhrWTYw3CcR00RNd9Nxoq_N1pliA,1nz01IhrWTYw3CcR00RNd9Nxoq_N1pliA,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Laila,44,10,2025,03271a79-3cd3-41bf-bbcb-d6344b44ea01,cerrado,Admin
10/26/2025 13:36:55,2025-10-26,13:36,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Susan,44,10,2025,9e44a44b-a6c2-4488-bc7d-dc205aa7e4b5,cerrado,Admin
10/26/2025 13:42:54,2025-10-26,13:42,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Nic,44,10,2025,53dbd44f-02f4-4a20-9534-17651484867c,cerrado,Admin
10/26/2025 13:45:46,2025-10-26,13:45,Lynwood,en,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Oscar,44,10,2025,8e9d5fce-ceae-459e-b84d-66e09288ac18,cerrado,Admin
10/26/2025 13:46:21,2025-10-26,13:46,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,,44,10,2025,a708ca75-bde0-40cb-a4e3-facc86e4301f,cerrado,Admin
10/26/2025 13:51:59,2025-10-26,13:51,Lynwood,es,5,5,5,5,9,Q habrán más temprano,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Ale,44,10,2025,fa59ea64-de08-4c2c-b098-d41c7fc4c59d,cerrado,Admin
10/26/2025 13:59:04,2025-10-26,13:59,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Alicia,44,10,2025,9ab07bc8-5c44-4499-a255-00f8b1fa10b8,cerrado,Admin
