id,user_id,type,title,message,link,is_read,created_at,reference_id,reference_type,read
184,43,alert,Nueva Inspección: Tacos Gavilan Lynwood,El supervisor Willian Aguilar completó una auditoría con 77%,/inspecciones,false,2026-01-03 21:01:03.731609+00,118,supervisor_inspection,false
186,44,alert,⚠️ Alerta: Tacos Gavilan Lynwood,El supervisor Willian Aguilar completó una auditoría con 77%,/inspecciones,false,2026-01-03 21:02:13.429125+00,118,supervisor_inspection,false
187,45,alert,⚠️ Alerta: Tacos Gavilan Lynwood,El supervisor Willian Aguilar completó una auditoría con 77%,/inspecciones,false,2026-01-03 21:02:13.429125+00,118,supervisor_inspection,false
188,46,alert,⚠️ Alerta: Tacos Gavilan Lynwood,El supervisor Willian Aguilar completó una auditoría con 77%,/inspecciones,false,2026-01-03 21:02:13.429125+00,118,supervisor_inspection,false
189,43,alert,⚠️ Alerta: Tacos Gavilan Lynwood,El supervisor Willian Aguilar completó una auditoría con 77%,/inspecciones,false,2026-01-03 21:02:13.429125+00,118,supervisor_inspection,false
191,25,alert,⚠️ Alerta: Tacos Gavilan Lynwood,El supervisor Willian Aguilar completó una auditoría con 77%,/inspecciones,true,2026-01-03 21:02:13.429125+00,118,supervisor_inspection,false
193,25,info,📋 Nuevo Checklist: DAILY,Asistente Personal completó reporte.,/checklists?type=daily&id=314,true,2026-01-04 07:18:42.878354+00,314,assistant_checklists,false
194,59,info,📋 Nuevo Checklist: DAILY,Asistente Personal completó reporte.,/checklists?type=daily&id=314,false,2026-01-04 07:18:42.878354+00,314,assistant_checklists,false
196,25,info,📋 Nuevo Checklist: DAILY,Asistente Personal completó reporte.,/checklists?type=daily&id=315,true,2026-01-04 07:39:08.125585+00,315,assistant_checklists,false
197,59,info,📋 Nuevo Checklist: DAILY,Asistente Personal completó reporte.,/checklists?type=daily&id=315,false,2026-01-04 07:39:08.125585+00,315,assistant_checklists,false
199,25,info,📋 Nuevo Checklist: TEMPERATURAS,Asistente Personal completó reporte.,/checklists?type=temperaturas&id=316,true,2026-01-04 07:57:07.090775+00,316,assistant_checklists,false
200,59,info,📋 Nuevo Checklist: TEMPERATURAS,Asistente Personal completó reporte.,/checklists?type=temperaturas&id=316,false,2026-01-04 07:57:07.090775+00,316,assistant_checklists,false
202,25,info,📋 Nuevo Checklist: TEMPERATURAS,Asistente Personal completó reporte.,/checklists?type=temperaturas&id=317,true,2026-01-04 08:06:33.926808+00,317,assistant_checklists,false
203,59,info,📋 Nuevo Checklist: TEMPERATURAS,Asistente Personal completó reporte.,/checklists?type=temperaturas&id=317,false,2026-01-04 08:06:33.926808+00,317,assistant_checklists,false
208,57,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Willian Aguilar.,/inspecciones?id=119,false,2026-01-04 09:29:39.914118+00,119,supervisor_inspections,false
